row_key,hh_point,hv_point,hh_gauss,hv_gauss,hh_boxcar,hv_boxcar
4034,-8.882725754321612,-15.860371980137373,-8.030118185273261,-14.664240028880462,-7.762631775289364,-13.95087233640342
4035,-17.50760761817523,-22.117047582425542,-14.264841182649729,-20.009528354762217,-13.060798883977045,-19.28944623304253
4036,-7.06712592429767,-10.44449249541394,-6.978095574214621,-11.096866729894828,-6.948531052843454,-11.281110144221579
4037,-6.404921621500506,-12.111197253646154,-6.341919250188112,-11.442629054890599,-6.26310938067278,-11.237972359384077
4038,-6.875043456084185,-11.610180913024337,-6.4540075471918685,-10.946989857645761,-6.104783710747465,-10.665444084593412
4039,-4.059171894895584,-10.274254958029744,-4.072035541689232,-10.749630171332514,-4.495861137581829,-10.885834360444388
4040,-5.726406642482033,-10.769782257466872,-5.7040802128961134,-10.847076263119527,-5.9018414269362625,-10.642619774850466
4041,-5.184874961635643,-8.758797150778506,-5.753615495856185,-9.743011294584049,-6.434831237682824,-10.050816894439373
4042,-6.53573373434665,-10.771907245768134,-5.9931782796982604,-9.950245770850145,-5.555470653188894,-9.761245610064279
4043,-9.828325691858751,-9.673385113960634,-7.656261227564653,-11.479357041722182,-6.911165320639004,-12.176027850438437
4044,-5.710965056836329,-11.019815203533128,-6.495859630147155,-11.110984068968891,-6.892657396749831,-11.439209921380439
4045,-7.653913650934541,-12.4783861639594,-7.425518383107323,-11.71315458492658,-7.431506190119009,-11.659962988221453
4046,-5.877511115153993,-10.636945332429605,-5.6281526116771925,-9.934221846970093,-5.618817438492768,-9.907761500092985
4047,-7.5550332005629315,-11.997880013048146,-7.276979740945223,-11.487466033729676,-7.203684199747037,-11.485724615706966
4048,-5.663623941479031,-12.360208971749003,-6.016185176535067,-11.582521142744712,-6.7875446111038364,-11.287303744283708
4049,-3.5272845316518584,-10.236207196183258,-5.106572741062085,-10.97127805573051,-5.146890451853332,-11.03319027393004
4050,-5.048557723485388,-8.770604362513453,-4.899657228585625,-9.878666550429678,-5.015153974887023,-10.234637093633488
4051,-4.6194847082527986,-13.553649073663166,-4.333816585534441,-11.525904821354622,-5.03962981212242,-11.13504558508114
